DATE,CPIAUCSL
1947-12-22,23.616626119101205
1947-12-23,23.624126783295317
1947-12-24,23.63138078659171
1947-12-25,23.63838368715167
1947-12-26,23.64513104313649
1947-12-27,23.651618412707474
1947-12-28,23.6578413540259
1947-12-29,23.663795425253078
1947-12-30,23.669476184550287
1947-12-31,23.674879190078833
1948-01-01,23.68
1948-01-02,23.684834020032593
1948-01-03,23.689376046125435
1948-01-04,23.693620721784864
1948-01-05,23.697562690517216
1948-01-06,23.701196595828822
1948-01-07,23.70451708122602
1948-01-08,23.707518790215133
1948-01-09,23.710196366302508
1948-01-10,23.712544452994475
1948-01-11,23.714557693797367
1948-01-12,23.71623073221752
1948-01-13,23.71755821176127
1948-01-14,23.718534775934945
1948-01-15,23.719155068244884
1948-01-16,23.719413732197424
1948-01-17,23.719305411298894
1948-01-18,23.718824749055624
1948-01-19,23.71796638897396
1948-01-20,23.71672497456023
1948-01-21,23.715095149320767
1948-01-22,23.713071556761907
1948-01-23,23.710648840389986
1948-01-24,23.707821643711334
1948-01-25,23.704584610232285
1948-01-26,23.700932383459183
1948-01-27,23.69685960689835
1948-01-28,23.69236092405613
1948-01-29,23.687430978438847
1948-01-30,23.68206441355284
1948-01-31,23.67625587290445
1948-02-01,23.67
1948-02-02,23.663300872405642
1948-02-03,23.65620030392674
1948-02-04,23.648749542428472
1948-02-05,23.640999835776018
1948-02-06,23.63300243183456
1948-02-07,23.624808578469267
1948-02-08,23.61646952354532
1948-02-09,23.608036514927903
1948-02-10,23.59956080048219
1948-02-11,23.59109362807336
1948-02-12,23.58268624556659
1948-02-13,23.574389900827054
1948-02-14,23.56625584171994
1948-02-15,23.55833531611042
1948-02-16,23.550679571863668
1948-02-17,23.543339856844867
1948-02-18,23.5363674189192
1948-02-19,23.529813505951836
1948-02-20,23.523729365807956
1948-02-21,23.51816624635274
1948-02-22,23.513175395451363
1948-02-23,23.50880806096901
1948-02-24,23.50511549077085
1948-02-25,23.502148932722065
1948-02-26,23.499959634687833
1948-02-27,23.498598844533333
1948-02-28,23.49811781012374
1948-02-29,23.498567779324237
1948-03-01,23.5
1948-03-02,23.502449231683315
1948-03-03,23.50588428057492
1948-03-04,23.510257464542658
1948-03-05,23.515521101454375
1948-03-06,23.521627509177915
1948-03-07,23.52852900558112
1948-03-08,23.536177908531844
1948-03-09,23.54452653589792
1948-03-10,23.5535272055472
1948-03-11,23.56313223534753
1948-03-12,23.573293943166757
1948-03-13,23.583964646872715
1948-03-14,23.59509666433326
1948-03-15,23.60664231341623
1948-03-16,23.618553911989476
1948-03-17,23.63078377792084
1948-03-18,23.643284229078162
1948-03-19,23.656007583329295
1948-03-20,23.668906158542086
1948-03-21,23.68193227258437
1948-03-22,23.695038243323996
1948-03-23,23.708176388628807
1948-03-24,23.721299026366655
1948-03-25,23.73435847440538
1948-03-26,23.747307050612825
1948-03-27,23.760097072856844
1948-03-28,23.77268085900527
1948-03-29,23.785010726925954
1948-03-30,23.79703899448674
1948-03-31,23.80871797955547
1948-04-01,23.82
1948-04-02,23.83084747114418
1948-04-03,23.841263198135934
1948-04-04,23.851260083579195
1948-04-05,23.8608510300779
1948-04-06,23.870048940235986
1948-04-07,23.878866716657395
1948-04-08,23.88731726194606
1948-04-09,23.895413478705905
1948-04-10,23.903168269540878
1948-04-11,23.910594537054912
1948-04-12,23.917705183851947
1948-04-13,23.924513112535912
1948-04-14,23.931031225710747
1948-04-15,23.93727242598039
1948-04-16,23.943249615948773
1948-04-17,23.94897569821984
